 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"""He is innocent. She was my daughter and he is my son,"" she said.","„Je nevinný. Byla to moje dcera a on je můj syn,“ řekla.","""Je nevinný. Ona byla moje dcera a on je můj syn,"" řekla.","“Je nevinný. Ona byla moje dcera a on je můj syn,” řekla.","„Je nevinný. Ona byla moje dcera a on je můj syn,“ řekla.",,,
"Baloch's murder made international headlines and reignited calls for action against an epidemic of so-called ""honour killings,"" in which a victim -- usually a woman -- is murdered for flouting patriarchal social codes.","Vražda Balochové plnila mezinárodní titulky novin a znovu oživila výzvy k boji proti tzv. „vraždám ze cti“, při kterých je oběť – obvykle žena – zavražděna podle pravidel patriarchálního zvykového práva.","Vražda Balochové byla ve zprávách po celém světě a znovu roznítila volání po zakročení proti epidemii takzvaných ""vražd ze cti"", při nichž je oběť - obvykle žena - zavražděna za porušení patriarchálních zákonů.","Vražda Baloch se dostala na titulky mezinárodních novin a znovu vzkřísila výzvy dožadující se zásahu proti častému výskytu takzvaných “vražd ze cti,” ve kterých je oběť — většinou žena — zavražděna za porušení patriarchálních sociálních kodexů.","Vražda Balochové plnila titulky novin po celém světě a opět podnítila výzvy k boji proti vlně tzv. vražd ze cti, při nichž je oběť - obvykle žena - zavražděna za porušení zákonů patriarchální společnosti.","Vražda pákistánské celebrity plnila titulky novin po celém světě a opět oživila výzvy k boji proti vlně takzvaných vražd ze cti, při nichž je oběť - obvykle žena - zavražděna za porušení zákonů patriarchální společnosti.",,
"Women have been burned, shot, stabbed and strangled for offences such as choosing their own husband or -- in Baloch's case -- bringing ""shame"" on their family by celebrating their sexuality.","Ženy jsou upalovány, zastřeleny, pobodány nebo uškrceny kvůli prohřeškům, jako je volba manžela podle vlastního rozhodnutí nebo – v případě Balochové – uvalení „hanby“ na rodinu oslavou vlastní sexuality.","Ženy jsou upáleny, zastřeleny, ubodány nebo uškrceny pro přečiny, jako to, že si zvolí vlastního manžela nebo - jako v případě Balochové - za ""zneuctění"" své rodiny oslavou svojí sexuality.","Ženy byly upáleny, zastřeleny, ubodány a uškrceny pro prohřešky jako je výběr vlastního manžela nebo — v případě Baloch — pro zostuzení rodiny oslavou své sexuality.","Upálení, zastřelení, ubodání nebo uškrcení - takové jsou tresty za prohřešky, kterých se ženy dopouštějí tak, že si např. vybírají manžela podle své vlastní vůle nebo uvalí ""hanbu"" na rodinu tím, že oslavují svou sexualitu, jako tomu bylo v případě Balochové.","Upálení, zastřelení, ubodání nebo uškrcení - to jsou tresty za prohřešky, kterých se ženy dopouštějí například tím, že si samy vybírají manžela nebo zostudí rodinu tím, že oslavují svou sexualitu, jako tomu bylo v případě Baloch.",,
"The killings are usually carried out by a close relative. Under Pakistan's Qisas (blood money) and Diyat (retribution) law, they can then seek forgiveness from a victim's relatives.",Zabití obvykle vykoná blízký příbuzný rodiny. Podle pákistánských zákonů Qisas (krevní peníze) a Diyat (odplata) pak může hledat odpuštění u příbuzných oběti.,Vraždu obvykle spáchá blízký příbuzný. Podle pákistánských zákonů Qisas (krvavé peníze) nebo Diyat (odplata) potom může požadovat odpuštění od příbuzných oběti.,Zabití jsou většinou provedeny blízkými příbuznými. Podle Pakistánského Qisas (krvavé peníze) a Diyat (Odplatních) práv mohou potom žádat odpuštění od příbuzných oběti.,Vrahem je obvykle někdo z blízkých příbuzných. Podle pákistánského zvykového práva kisás (odplata stejným činem) a dija (krvavé peníze) pak může příbuzné oběti žádat o odpuštění.,,"tradiční česká transkripce kisás a dija, a podle všech možných zdrojů je kisás odplata stejným činem a dija je peněžní náhrada (originál přesně naopak)
",
"Three months after Baloch's murder, parliament passed new legislation mandating life imprisonment for honour killings.","Tři měsíce po vraždě Balochové schválil parlament novou legislativu, která nařizuje trest doživotního vězení při spáchání vraždy ze cti.",Tři měsíce po vraždě Balochové parlamentem prošla nová legislativa přikazující doživotní vězení za vraždu ze cti.,Tři měsíce po vraždě Baloch vláda schválila novou legislativu nařizující doživotní trest za vraždy ze cti.,"Tři měsíce po vraždě Balochové schválil parlament novou legislativu, která soudům nařizuje za vraždy ze cti ukládat doživotní tresty.","Tři měsíce po vraždě Qandeel Baloch schválil parlament novou legislativu, která soudům nařizuje pachatele vražd ze cti odsuzovat k doživotnímu vězení.",,
"However, whether a murder is defined as a crime of honour is left to the judge's discretion, meaning that killers can theoretically claim a different motive and still be pardoned.","To, zda je vražda definována jako zločin ze cti, je však ponecháno na uvážení soudce, což znamená, že vrazi mohou mít teoreticky i jiný motiv a přesto dosáhnout omilostnění.","Ovšem to, zda je vražda definována jako zločin ze cti, je ponecháno na uvážení soudce, což znamená, že vrazi mohou teoreticky uvést jiný motiv a být osvobozeni.","Nicméně, zda je vražda definována jako zločin ze cti, je stále na rozhodnutí soudce, to znamená, že vrazi mohou teoreticky tvrdit, že měli jiný motiv, a být tím pádem omilostněni.","Ovšem to, zda je vražda označena jako zločin ze cti, je ponecháno na uvážení soudce, což znamená, že vrazi mohou teoreticky uvést jiný motiv, a tím dosáhnout omilostnění.","To, zda se vražda kvalifikuje jako zločin ze cti, je nicméně ponecháno na uvážení soudce, což znamená, že vrazi mohou teoreticky uvést jiný motiv a dočkat se tak odpuštění.","still zde nemá význam přípustkový, ale časový - odkazuje na to, že u jiných motivů zákon zatím umožňuje požádat o odpuštění rodiny, u vraždy ze cti už nově ne",
"In Baloch's case, her parents initially insisted their son would be given no absolution.","V případě Balochové její rodiče původně trvali na tom, aby jejich syn nebyl omilostněn.","V případu Balochové její rodiče nejprve trvali na tom, aby jejich syn nebyl osvobozen.","V případě Baloch její rodiče nejdříve požadovali, aby jejich syn nebyl zproštěn viny.","Pokud jde o Balochovou, její rodiče nejprve trvali na tom, aby jejich syn osvobozen nebyl.","Pokud jde o případ Baloch, její rodiče nejprve trvali na tom, aby jejich syn osvobozen nebyl.",,
"But, heartbroken at the thought of losing him also, they changed their minds and said they wanted him to be forgiven.","Ale při bolestné představě, že o syna přijdou, změnili názor a prohlásili, že si přejí jeho propuštění.","Ale protože byli zdrceni při pomyšlení, že by ztratili i jeho, změnili názor a řekli, že chtějí, aby mu bylo odpuštěno.","Ale zarmouceni myšlenkou, že by ho ztratili také, změnili svůj názor a chtějí, aby mu bylo odpuštěno.","Ale zarmouceni představou, že by ztratili i jeho, změnili názor a uvedli, že si přejí, aby mu bylo odpuštěno.",,,
"International revulsion at the killing had seen the Pakistani state take the unprecedented step of declaring itself an heir alongside the parents, however, forcing the case to move ahead.","Mezinárodní odpor proti zabíjení věděl, že pákistánský stát podnikl bezprecedentní krok, když se prohlásil spolu s rodiči oběti za dědice, ale zároveň se snažil případ posunout kupředu.","Mezinárodní odpor k vraždě vedl k tomu, že pákistánský stát podnikl bezprecedentní krok a prohlásil se za dědice vedle rodičů, čímž napomohl tomu, aby se případ pohnul kupředu.","Mezinárodní znechucení vraždami donutilo Pakistán k bezprecedentnímu kroku  prohlásit se dědicem po boku rodičů, což ovšem zapříčinilo, že se případ posunul dopředu.","Na pozadí mezinárodního odporu vůči této vraždě podnikl Pákistán bezprecedentní krok a prohlásil se spolu s rodiči za dědice, čímž se mu podařilo posunout případ kupředu.","Případ vyvolal mezinárodní vlnu odporu, a proto se stát rozhodl pro bezprecedentní krok a prohlásil se spolu s rodiči za dědice, díky čemuž se případ posunul kupředu.","however se vztahuje k celému úseku, nikoli jen k forcing; v překladu však implicitujeme",
"Some of Baloch's better-known actions included offering to perform a striptease for the Pakistani cricket team, and donning a plunging scarlet dress on Valentine's Day.",Mezi známější počiny Balochové patřila nabídka striptýzu pro pákistánský kriketový tým a nošení šarlatových šatů s hlubokým výstřihem v den svátku sv. Valentýna.,"Mezi známější činy Balochové patřilo to, že nabídla, že předvede striptýz pro pákistánský kriketový tým a na Valentýna si vzala  na sebe červené šaty s hlubokým výstřihem.",Některé z Balochiných známějších aktivit byl návrh striptýzu kriketovému týmu a nošení šarlatově červených šatů v den sv. Valentýna.,"Balochová se proslavila například tím, že pákistánskému kriketovému týmu nabídla striptýz nebo že si na sv. Valentýna oblékla šarlatově červené šaty s hlubokým výstřihem.","Mezi známější kousky Qandeel Baloch patřilo například to, že pákistánskému kriketovému týmu nabídla striptýz nebo že si na sv. Valentýna oblékla šarlatově červené šaty s hlubokým výstřihem.",,
"She attracted criticism and threats but was perceived by many, including young people, as breaking new ground in a country where presenting yourself as a Kim Kardashian-like figure can be seen as a bold, political act of women's empowerment.","Byla terčem kritiky a hrozeb, ale mnozí, včetně mladých lidí, ji vnímali jako průkopnici nových trendů v zemi, ve které je prezentace sebe samé jako Kim Kardashian vnímána jako odvážný politický počin, která má posílit postavení tamních žen.","Přitahovala kritiku a vyhrožování, ale mnoha, především mladými lidmi, byla vnímána jako někdo, kdo otevírá nové možnosti v zemi, kde prezentovat se jako Kim Kardashian může být považováno za odvážný politický čin pro posílení postavení žen.","Sklízela kritiku a výhružky, ale mnohými zejména mladými lidmi byla považována za průkopnici v zemi, kde sebeprezentace postavy podobné Kim Kardashian  je vnímáno jako odvážný, politický čin posílení postavení žen.","Sklízela kritiku a výhrůžky, ale mnozí, zejména mladí lidé ji vnímali jako průkopnici nových možností v zemi, ve které je prezentace vlastní osoby coby pákistánské Kim Kardashianové považována za odvážný politický čin, který má posílit postavení žen.","Byla terčem kritiky a výhrůžek, ale mnozí, zejména mladí lidé ji vnímali jako průkopnici nových trendů v zemi, ve které je prezentace vlastní osoby jako pákistánské Kim Kardashian považována za odvážný politický čin, který má posílit postavení žen.",,
"The roots of ""honour"" killings lie in tribal social norms, which remain prevalent across South Asia and dictate the behaviour of women in particular, though men can be victims too.","Kořeny vražd ze „cti“ spočívají v kmenových sociálních pravidlech, které přetrvávají v celé jižní Asii a diktují zejména chování žen, i když oběťmi mohou být i muži.","Kořeny vražd ""ze cti"" leží v kmenových společenských normách, které stále převládají v jižní Asii a diktují zejména chování žen, ačkoli se jejich obětmi mohou stát i muži.","Kořeny vražd “ze cti” jsou v kmenových sociálních normách, které zůstávají běžné napříč jižní Asií a diktují chování predevším žen, i když se jeho obětí mohou stát i muži.","Vraždy „ze cti“ mají svůj původ v kmenových společenských normách, které nadále přetrvávají v celé jižní Asii a určují obzvláště ženám, jak se mají chovat, i když oběťmi těchto vražd se mohou stát i muži.","Vraždy „ze cti“ mají svůj původ v kmenových společenských normách, které nadále přetrvávají v celé jižní Asii a určují obzvláště ženám, jak se mají chovat, i když oběťmi těchto vražd se mohou stát rovněž muži.",,
,,,,,,,
,,,,,,,
en.ndtv.com.13143,,,,,,,
China Says It Didn't Fight Any War Nor Invaded Foreign Land,"Čína tvrdí, že nikdy nevyprovokovala žádnou válku ani nenapadla cizí zemi","Čína tvrdí, že nebojovala v žádné válce ani neobsadila cizí zemi","Čína řekla, že nebojovala v žádné válce ani nepodnikla invazi do cizí země.","Čína tvrdí, že nikdy nebojovala v žádné válce ani nenapadla cizí zemi","Čína tvrdí, že nikdy nevyvolala žádnou válku ani nenapadla cizí zemi","N1 doslovný, N2 vychází ze znalosti celého článku (vyvolat)",
"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Čína v pátek uvedla, že nikdy nevyprovokovala „žádnou válku či konflikt“ ani „nenapadla jediný kousek“ žádné cizí země, čímž se vyhýbá jakékoli spojitosti s válkou s Indií v roce 1962.","Čína v pátek prohlásila, že nevyprovokovala ""jedinou válku nebo konflikt"" ani ""neobsadila jediný kousek"" cizí země. Vyhnula se jakékoli zmínce o válce s Indií v roce 1962.","Čína v pátek řekla, že nevyprovokovala ""jedinou válku či konflikt"" ani ""nepodnikla invazi  do jediného čtverečního metru"" cizí země, vyhýbaje se jakýmkoli odkazům k válce s Indií v roce 1962.","Čína v pátek uvedla, že nikdy nevyprovokovala „jedinou válku nebo konflikt“ ani „nenapadla jediný kousek“ cizího území, čímž popřela jakoukoli spojitost s válkou s Indií v roce 1962.","Čína v pátek uvedla, že nikdy nevyprovokovala „jedinou válku nebo konflikt“ ani „nenapadla jediný kousek“ cizího území. Vyhýbá se tak jakékoli spojitosti s válkou s Indií v roce 1962.",,
"""China has always been dedicated to resolving territorial and maritime delimitation disputes through negotiation and consultation,"" stated an official white paper released, four days ahead of the country set to celebrate its 70th anniversary of the leadership of the ruling Communist Party of China (CPC) on October 1.","„Čína se vždy snažila řešit spory o územní i námořní nároky prostřednictvím vyjednávání a konzultací,“ uvedlo oficiální prohlášení, které bylo zveřejněno čtyři dny před oslavou 70. výročí vlády Komunistické strany Číny (CPC) v zemi, které připadá na 1. října.","""Čína byla vždy odhodlána řešit teritoriální spory a spory o vymezení námořních hranic vyjednáváním a konzultacemi,"" uvedl jeden z činitelů ve zveřejněné Bílé knize, čtyři dny předtím, než země stanovila oslavy 70. výročí vedení vlánoucí Komunistické strany Číny (CPC) na 1. října.","""Čína byla vždy oddána řešení teritoriálních a přímořských hraničních sporů cestou vyjednávání  a konzultace,"" bylo uvedeno v oficiální bílé knize vydané čtyři dny před zahájením oslav 70tého výročí vedení Komunistické Strany Číny (KSČ) 1. října.","„Čína se vždy snažila řešit spory týkající se územních a námořních nároků vyjednáváním a konzultacemi,“ stojí v oficiálním prohlášení zveřejněném čtyři dny před oslavami 70. výročí vlády Komunistické strany Číny (KSČ), které připadají na 1. října.",,"Chyby originálu: (1) nadbývající čárka po released; (2) konstrukce ""ahead of the country set to celebrate"" neúplná",
"""China safeguards world peace through real actions. Over the past 70 years, China has not provoked a single war or conflict, nor invaded a single square of foreign land,"" the paper titled ""China and the World in the New Era"" said.","„Čína chrání světový mír reálnými činy. Za posledních 70 let Čína nevyvolala jedinou válku nebo konflikt ani nenapadla jediný kousek cizí země,“ stojí v prohlášení s názvem „Čína a svět v nové době“.","""Čína střeží světový mír skutečnými činy. Během uplynulých 70 let Čína nevyprovokovala jedinou válku nebo konflikt ani neobsadila jediný kousek cizí země"", uvádí list nazvaný ""Čína a svět v nové éře"".","""Čína zabezpečuje světový mír opravdovými činy. Během posledních 70ti let Čína nevyprovokovala  jedinou válku nebo konflikt, ani nevnikla na jediný metr čtvereční cizí země, "" uvedl článek  zvaný ""Čína a Svět v Nové Éře"".","„Čína střeží světový mír skutečnými činy. Za posledních 70 let nevyvolala Čína jedinou válku nebo konflikt ani nenapadla jediný kousek cizího území,“ píše se v prohlášení nazvaném „Čína a svět v nové době“.",,"white paper, paper - volíme obecnější výraz prohlášení
",
"The white paper, while highlighting the CPS's ""peaceful rise"" made no reference of the bloody 1962 war with India and the vast tracts of land, especially in the Aksai Chin area, occupied by China.","Prohlášení, které zdůrazňuje „mírový vzestup“ CPS, se nijak nezmiňuje o krvavé válce z roku 1962 s Indií a o rozsáhlých oblastech, zejména v Aksai Čin, které Čína okupovala.","Bílá kniha, která zdůrazňuje ""pokojný vzestup"" komunistické strany, se nezmínila o krvavé válce roku 1962 s Indií a rozsáhlých územích, zvláště v oblasti Aksai Čin, okupovaných Čínou.","Zatímco Bílá kniha vyzdvihla ""mírový vzestup"" KSČ, nezmínila krvavou válku s Indií v roce 1962 a rozsáhlá území, obzvlášť v oblasti Aksai Chin, která Čína okupovala.","Prohlášení vyzdvihuje „pokojný nástup“ KSČ, avšak vůbec se nezmiňuje o krvavé válce s Indií roku 1962 ani o tom, že Čína okupovala rozsáhlá území, zvláště v oblasti Aksai Čin.","Prohlášení vyzdvihuje „mírový vzestup“ KSČ, ale nezmiňuje se o krvavé válce s Indií roku 1962 ani o tom, že Čína okupovala rozsáhlá území, zejména v oblasti Aksai Čin.",,
"The Sino-India border dispute involving 3,488-km-long Line of Actual Control (LAC) remained unresolved. China also claims Arunachal Pradesh as part of South Tibet, which India contests.","Hraniční spor mezi Čínou a Indií týkající se 3 488 km dlouhé Linie aktuální kontroly (LAC) zůstal nevyřešený. Čína také tvrdí, že Arunáčalpradéš je součástí jižního Tibetu, což Indie zpochybňuje.","Čínsko-indický pohraniční spor zahrnující 3 488 km dlouhou Linii aktuální kontroly (LAC) zůstává nevyřešen. Čína si také dělá nároky na  Arunáčalpradéš jako součást Jižního Tibetu, což Indie popírá.","Čínsko-indická hranice zahrnující 3488 km dlouhou linii reálné kontroly (LAC) zůstává nedořešena.  Číná také tvrdí, že Arunachal Pradesh je součástí Jižního Tibetu, čemuž Indie oponuje.","Spor o hranici mezi Čínou a Indií zahrnující i 3488 km dlouhou Linii aktuální kontroly (angl. Line of Actual Control, LAC) zůstal nevyřešený. Čína také prohlašuje, že Arunáčalpradéš je součástí jižního Tibetu, což Indie popírá.","Nevyřešený zůstal spor o hranici mezi Čínou a Indií zahrnující i 3488 km dlouhou Linii aktuální kontroly (LAC). Čína také prohlašuje, že Arunáčalpradéš je součástí jižního Tibetu, což Indie zpochybňuje.",dovysvětlení zkratky v N1,
"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Dosud obě země uspořádaly 21 kol jednání zvláštních zástupců, kteří se pokoušeli hraniční spor vyřešit.","Od té doby obě země vedly 21 rozhovorů zvláštních zástupců, aby vyřešily pohraniční spor.",Dosavadně tyto dvě země uspořádaly 21 zasedání Speciálních Reprezentatů pro vyřešení hraničního sporu.,"Dosud obě země uspořádaly 21 kol jednání zvláštních zástupců, kteří se pokoušeli hraniční spor vyřešit.","Obě země dosud uspořádaly jednadvacet kol jednání za účasti zvláštních zástupců, jejichž záměrem bylo hraniční spor vyřešit.",,
"Besides the 1962 war, India and China had a major military standoff at Doklam in 2017 when the People's Liberation Army (PLA) tried to lay a road close to India""s narrow Chicken Neck corridor connecting with the North-Eastern states in an area also claimed by Bhutan.","Kromě války v roce 1962 hrozilo mezi Indií a Čínou vypuknutí většího vojenského konfliktu u Doklamské náhorní plošiny v roce 2017, když se Čínská lidová osvobozenecká armáda (PLA) pokusila vybudovat železnici poblíž úzkého indického koridoru Kuřecí krk, který spojuje západní a východní část Indie v oblasti nárokované také Bhútánem.","Kromě války v roce 1962 byla mezi Indií a Čínou velká vojenská patová situace v Doklamu v roce 2017, kdy se Lidová osvobozenecká armáda pokusila položit silnici v blízkosti úzkého indického koridoru Kuřecí krk, který Indii spojuje se severovýchodními státy v oblasti, kterou si také nárokuje Bhútán.","Kromě války v roce 1962 měly Indie a Čína velký konflifkt v Doklamu roku 2017,  kdy se čínská lidová osvobozenská armáda (ČLOA) snažila postavit silnici blízko  indického úzkého Kuřecího krku spojující severo-východní země na území, na které si dělá nárok i Bhutan.","Kromě války v roce 1962 hrozilo mezi Indií a Čínou vypuknutí většího ozbrojeného konfliktu v roce 2017 u Doklamské náhorní plošiny, když se Čínská lidová osvobozenecká armáda (ČLOA) pokusila postavit železnici poblíž úzkého indického koridoru Kuřecí krk, který spojuje severní a východní část Indie v oblasti nárokované také Bhútánem.","Kromě války v roce 1962 hrozilo vypuknutí velkého vojenského konfliktu mezi Indií a Čínou v roce 2017 u Doklamské náhorní plošiny, když se Čínská lidová osvobozenecká armáda (ČLOA) pokusila vybudovat železniční trať v blízkosti úzkého indického koridoru Kuřecí krk, který spojuje severní a východní část Indie v oblasti nárokované také Bhútánem.","zkratka česky
road jako železnice (po načtení paralelních textů - to je pro bližší pochopení problematiky nutné, P1 učinil, P2 a P3 nikoliv), N1 tedy celkově dost dovysvětluje
světové strany, chyba v P1
",
It was finally diplomatically resolved after which both sides pulled back their troops.,Nakonec bylo vše vyřešeno diplomatickou cestou a obě strany stáhly své vojenské jednotky.,Konflikt byl nakonec diplomaticky vyřešen a obě strany poté stáhly svá vojska.,"Vše bylo zcela diplomaticky vyřešeno poté, co obě strany stáhly svá vojska.","Konflikt byl nakonec vyřešen diplomatickou cestou, načež obě strany svá vojska stáhly.",Nakonec byl konflikt vyřešen diplomatickou cestou a obě strany své vojenské jednotky stáhly.,,
"China also had a major military conflict with Vietnam in 1979. China claims sovereignty over all of South China Sea. Vietnam, Malaysia, the Philippines, Brunei and Taiwan have counter claims.","V roce 1979 došlo také k velkému vojenskému konfliktu mezi Čínou a Vietnamem. Čína si nárokuje svrchovanost nad celým Jihočínským mořem. Avšak Vietnam, Malajsie, Filipíny, Brunej a Tchaj-wan také vznášejí územní nároky na tuto oblast.","Čína měla také větší vojenský konflikt s Vietnamem v roce 1979. Čína si nárokuje suverenitu nad celým Jihočínským mořem. Vietnam, Malajsie, Filipíny, Brunej a Tchaj-wan mají opačné nároky. ","Čína měla také veliký vojenský konflikt s Vietnamem v roce 1979. Čína vyhlásila svrchovanost  nad všemi moři od jihu Číny. Vietnam, Malajsie, Filipíny, Brunei a Tchaj-wan mají protinároky.","V roce 1979 došlo k většímu vojenskému konfliktu také mezi Čínou a Vietnamem. Čína si nárokuje svrchovanost nad celým Jihočínským mořem, ovšem na tuto oblast si činí nárok také Vietnam, Malajsie, Filipíny, Brunej a Tchaj-wan.","V roce 1979 došlo k velkému vojenskému konfliktu také mezi Čínou a Vietnamem. Čína vyhlásila suverenitu nad celým Jihočínským mořem, ovšem tuto oblast si nárokují také Vietnam, Malajsie, Filipíny, Brunej a Tchaj-wan.","hranice mezi 2. a 3. větou respektována v P1, P2 i P3, kvůli kohezi jsme však v N1 i N2 věty spojili
",
"""China has achieved full resolution of land border delimitation problems with 12 of its 14 neighbouring countries, and delineated the China-Vietnam maritime boundary in the Beibu Gulf,"" the white paper said, noting that since reform and opening up in 1978, the country has cut its armed forces ""by over four million.""","„Čína dosáhla úplného vyřešení problémů týkajících se vymezení suchozemských hranic s 12 ze svých 14 sousedních zemí a vymezila čínsko-vietnamskou námořní hranici v zálivu Beibu,“ uvedlo čínské prohlášení a vyzdvihlo fakt, že od reforem a otevření země zahraničnímu obchodu v roce 1978 Čína snížila počet svých ozbrojených sil „o více než čtyři miliony“.","""Čína dosáhla úplného vyřešení problémů s vymezením hranic s 12 ze svých 14 sousedních zemí a vymezila čínsko-vietnamskou námořní hranici v Tonkinském zálivu"", uvádí Bílá kniha, a navíc po reformě a otevření se v roce 1978 země snížila stavy svých ozbrojených sil ""o více než čtyři miliony"".","""Čína dosáhla vyřešení problémů hraničních sporů s 12 ze 14 svých sousedících zemí a označila přímořskou hranici mezi Vietnamem a Čínou v Zálivu Beibu,"" uvedla bílá kniha.  Dále konstatovala , že od reformy a otevření v roce 1978 země snížila počet  svých ozbrojených sil ""přes čtyři miliony.""","„Čína dosáhla úplného vyřešení problémů s vymezením suchozemských hranic s 12 ze svých 14 sousedních zemí a vytyčila i čínsko-vietnamskou námořní hranici v zálivu Beibu,“ tvrdí se v prohlášení, které rovněž upozorňuje, že od reforem a otevření země zahraničnímu obchodu v roce 1978 Čína snížila počet svých ozbrojených sil „o více než čtyři miliony“.","„Čína dosáhla úplného vyřešení problémů s vymezením suchozemských hranic s 12 ze svých 14 sousedních zemí a vytyčila i čínsko-vietnamskou námořní hranici v zálivu Beibu,“ píše se v čínském prohlášení, kde se také uvádí, že od reforem a otevření země zahraničnímu obchodu v roce 1978 Čína snížila počet příslušníků svých ozbrojených sil „o více než čtyři miliony“.","N1 dovysvětlení (otevření země zahraničnímu obchodu, má P1)",
The two-million strong Chinese military still remain the world's largest.,Se dvěma miliony vojáků zůstává čínská armáda stále největší ozbrojenou silou na světě.,Dvoumilionová čínská armáda je ale stále největší na světě.,Čínská armáda čítající dva miliony lidí zůstává největší na světě.,Se dvěma miliony vojáků zůstává čínská armáda stále největší ozbrojenou silou na světě.,,"P1 OK, přebíráme do N1",
,,,,,,,
,,,,,,,
express.co.uk.11102,,,,,,,
The Who STOP concert last night: Friday and Sunday shows CANCELLED,Hudební skupina Who včera večer ODVOLALA koncert: Páteční a nedělní představení ZRUŠENO,The Who minulou noc zastavili koncert: Páteční a sobotní show ZRUŠENA ,Skupina The Who minulou noc přerušila koncert: Páteční a nedělní show jsou ZRUŠENÉ,Skupina The Who včera večer PŘERUŠILA koncert: páteční a nedělní vystoupení ZRUŠENO,,,
"Rock legends The Who are on a major US tour. In Houston, Texas, Roger Daltrey was forced to call off the concert less than halfway through. The 75-year-old told the disappointed audience: ""I think I should quit while I'm ahead."" The band had performed eight songs already but promised to try and return for another show one day in the future. Watch the video of how it all unfolded on stage.","Rockové legendy z kapely The Who jsou na hlavním turné po Spojených státech. Ani ne v půlce cesty v texaském Houstonu však musel Roger Daltrey koncert odvolat. 75letý zpěvák vzkázal zklamanému publiku: „Myslím, že je na čase skončit.“ Kapela už odehrála osm písní, ale slíbila, že se v budoucnu pokusí vrátit s dalším představením. Koukněte se na video, jak se vše na pódiu odehrálo.","Rockové legendy The Who jsou na velkém turné po USA. V Houstonu v Texasu byl Roger Daltrey nucen odvolat koncert dříve než v polovině. Pětasedmdesátník řekl zklamanému publiku: ""Myslím, že bych měl skončit, dokud mi to jde."" Kapela už zahrála osm písní, ale slíbila, že se pokusí vrátit se na novou show jednoho dne v budoucnu. Podívejte se na video, jak se to na jevišti odehrálo.","Rockové legendy The Who jsou na velkém turné po USA. Roger Daltrey  byl před dosažením poločasu nucen zrušit koncert v Houstonu v Texasu. 75letý muzikant sdělil  zklamanému obecenstvu: “Myslím, že bych měl skončit, dokud jsem na vrcholu.” Skupina zvládla zahrát osm písní, ale slíbili, že se vrátí na další show jindy v budoucnu. Na videu můžete vidět, jak se celá událost na jevišti odehrála.","Rocková legenda The Who je právě na velkém turné po Spojených státech. Koncert v texaském Houstonu však musel Roger Daltrey ani ne v polovině ukončit. Pětasedmdesátiletý zpěvák zklamanému publiku vzkázal: „Myslím, že je na čase skončit, dokud mi to ještě jde.“ Kapela předtím stihla odehrát osm písní, ale slíbila, že se v budoucnu pokusí vrátit a divákům ještě jednou zahrát. Podívejte se na videozáznam toho, jak se vše na pódiu odehrálo.",,,
"After playing classic 1982 track Eminence Front, Daltrey called it quits. he has struggled with vocal issues and apparently is under strict instructions from his surgeon.","Poté, co odehrál klasickou skladbu Eminence Front z roku 1982, se Daltrey rozhodl koncert ukončit. Má problémy s hlasem a zjevně se musí řídit přísnými pokyny svého lékaře.","Poté, co kapela zahrála klasickou skladbu z roku 1982 Eminence Front, Daltrey zavolal, že to končí. Bojoval s problémy s hlasem a zjevně má přísné pokyny od chirurga.","Po zahrání klasické skladby z roku 1982, Eminence Front, to Daltrey najednou vzdal. Měl problémy s hlasem a zřejmě byl pod striktními instrukcemi svého chirurga.","Poté, co odehrál klasickou skladbu Eminence Front z roku 1982, se Daltrey rozhodl koncert ukončit. V poslední době má problémy s hlasivkami a zjevně se musí řídit přísnými pokyny svého lékaře.",,,
"The British star told the crowd he couldn't go on with the show: ""If I carry on trying to do what I'm doing for you, I'm going to damage myself. I think I should quit while I'm ahead... Last time, I ended up in hospital for a month and I'm not going there again. Sorry.""","Britská hvězda řekla davu fanoušků, že ve vystoupení nemůže pokračovat: „Pokud budu pokračovat v tom, co pro vás dělám, zničí mě to. ... Naposledy jsem skončil v nemocnici, kde jsem byl celý měsíc, a už tam nejdu. Je mi to líto.","Britská hvězda řekla davu, že nemůže pokračovat v show: ""Kdybych dál dělal to, co pro vás teď dělám, uškodil bych si. Myslím, že bych měl skončit, dokud mi to jde... Posledně jsem skončil na měsíc v nemocnici a už se tam nechci vrátit. Omlouvám se.""","Britská hvězda řekla davu, že není schopna pokračovat s show: “Pokud budu dál dělat to, co tu pro vás dělám, tak si ublížím. Myslím si, že bych měl skončit, dokud jsem na vrcholu… Naposledy jsem na měsíc skončil v nemocnici a tam už znova nechci. Omlouvám se.”","Britská star fanouškům oznámila, že ve vystoupení nemůže pokračovat: „Pokud budu pokračovat v tom, co pro vás dělám, zničí mě to. Myslím si, že bych měl skončit, dokud mi to jde… Posledně jsem skončil na měsíc v nemocnici a už tam znova nejdu. Je mi to líto.“",,,
